Date,Course,Race,Horse,Bet Type,Odds,Result,Return Units,Profit Units
2026-08-21,Canberra Acton,5,Bombelleistic,WIN,4.50,Lost,0.00,-1.00
2026-08-22,Doomben,4,Cormac T,WIN,5.50,Lost,0.00,-1.00
2026-08-29,Belmont,4,Hurricane Harley,WIN,3.40,Lost,0.00,-1.00
2026-08-29,Rosehill Gardens,7,Savagram,WIN,4.60,Lost,0.00,-1.00
2026-08-29,Rosehill Gardens,8,Blue Door,WIN,2.20,Lost,0.00,-1.00
2026-09-02,Devonport Tapeta Synthetic,1,Azonto,WIN,1.80,Won,1.80,0.80
2026-09-05,Belmont,4,Pin Deep,WIN,3.90,Lost,0.00,-1.00
2026-09-05,Morphettville Parks,7,Fast Tempo,WIN,4.80,Won,4.80,3.80
2026-09-09,Belmont,7,Back To Bondi,WIN,4.40,Won,4.40,3.40
2026-09-09,Devonport Tapeta Synthetic,1,Ozonica,WIN,1.35,Lost,0.00,-1.00
2026-09-09,Devonport Tapeta Synthetic,5,Thoros Of Myr,WIN,3.50,Lost,0.00,-1.00
2026-09-12,Ladbrokes Pioneer Park,3,Brat,WIN,2.60,Lost,0.00,-1.00
2026-09-12,Rosehill Gardens,3,Appeared,WIN,2.15,Won,2.15,1.15
2026-09-19,Darwin,2,Tee Galleria,WIN,3.70,Lost,0.00,-1.00
2026-09-19,Darwin,2,Order Online,WIN,2.45,Lost,0.00,-1.00
2026-09-19,Darwin,3,Flying Annie,WIN,9.00,Lost,0.00,-1.00
