race,runner,odds,result,note
Casterton R7,#2 Digari,W4.80 / P1.70,4,Conf 46.3 | Value 15.1%
Kalgoorlie R1,#2 Ideally,W3.50 / P1.75,2,Conf 46.2 | Value 15.8%
